index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 -1.000000 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 -1.000000 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 -1.000000 -nan 0 -nan
28 -1.000000 -nan 0 -nan
29 -1.000000 -nan 0 -nan
30 -1.000000 -nan 0 -nan
31 -1.000000 -nan 0 -nan
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 -1.000000 -nan 0 -nan
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 -1.000000 -nan 0 -nan
44 -1.000000 -nan 0 -nan
45 -1.000000 -nan 0 -nan
46 -1.000000 -nan 0 -nan
47 -1.000000 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 -1.000000 -nan 0 -nan
51 -1.000000 -nan 0 -nan
52 -1.000000 -nan 0 -nan
53 -1.000000 -nan 0 -nan
54 -1.000000 -nan 0 -nan
55 -1.000000 -nan 0 -nan
56 -1.000000 -nan 0 -nan
57 -1.000000 -nan 0 -nan
58 -1.000000 -nan 0 -nan
59 -1.000000 -nan 0 -nan
60 -1.000000 -nan 0 -nan
61 -1.000000 -nan 0 -nan
62 -1.000000 -nan 0 -nan
63 14.878660 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 -1.000000 -nan 0 -nan
71 -1.000000 -nan 0 -nan
72 -1.000000 -nan 0 -nan
73 -1.000000 -nan 0 -nan
74 -1.000000 -nan 0 -nan
75 -1.000000 -nan 0 -nan
76 -1.000000 -nan 0 -nan
77 -1.000000 -nan 0 -nan
78 -1.000000 -nan 0 -nan
79 -1.000000 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 -1.000000 -nan 0 -nan
82 -1.000000 -nan 0 -nan
83 -1.000000 -nan 0 -nan
84 -1.000000 -nan 0 -nan
85 -1.000000 -nan 0 -nan
86 -1.000000 -nan 0 -nan
87 -1.000000 -nan 0 -nan
88 -1.000000 -nan 0 -nan
89 -1.000000 -nan 0 -nan
90 -1.000000 -nan 0 -nan
91 -1.000000 -nan 0 -nan
92 -1.000000 -nan 0 -nan
93 -1.000000 -nan 0 -nan
94 -1.000000 -nan 0 -nan
95 20.546113 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 -1.000000 -nan 0 -nan
98 -1.000000 -nan 0 -nan
99 -1.000000 -nan 0 -nan
100 -1.000000 -nan 0 -nan
101 -1.000000 -nan 0 -nan
102 -1.000000 -nan 0 -nan
103 -1.000000 -nan 0 -nan
104 -1.000000 -nan 0 -nan
105 -1.000000 -nan 0 -nan
106 -1.000000 -nan 0 -nan
107 -1.000000 -nan 0 -nan
108 -1.000000 -nan 0 -nan
109 -1.000000 -nan 0 -nan
110 26.964749 6.480540 885 4.160880
111 24.259436 6.811189 624 3.561703
112 -1.000000 -nan 0 -nan
113 -1.000000 -nan 0 -nan
114 -1.000000 -nan 0 -nan
115 -1.000000 -nan 0 -nan
116 -1.000000 -nan 0 -nan
117 20.015780 5.537567 1575 3.614544
118 14.801184 5.401536 2998 2.740181
119 21.519057 7.843725 114 2.743474
120 -1.000000 -nan 0 -nan
121 15.274683 5.227837 2522 2.921798
122 15.052381 5.228298 2248 2.879021
123 30.314966 8.129328 13 3.729086
124 15.582218 5.339981 1507 2.918029
125 33.310682 -nan 0 -nan
126 35.681633 -nan 0 -nan
127 92.685279 -nan 0 -nan
128 -1.000000 -nan 0 -nan
129 -1.000000 -nan 0 -nan
130 -1.000000 -nan 0 -nan
131 -1.000000 -nan 0 -nan
132 -1.000000 -nan 0 -nan
133 -1.000000 -nan 0 -nan
134 -1.000000 -nan 0 -nan
135 -1.000000 -nan 0 -nan
136 -1.000000 -nan 0 -nan
137 -1.000000 -nan 0 -nan
138 -1.000000 -nan 0 -nan
139 -1.000000 -nan 0 -nan
140 -1.000000 -nan 0 -nan
141 -1.000000 -nan 0 -nan
142 -1.000000 -nan 0 -nan
143 -1.000000 -nan 0 -nan
144 -1.000000 -nan 0 -nan
145 -1.000000 -nan 0 -nan
146 -1.000000 -nan 0 -nan
147 -1.000000 -nan 0 -nan
148 -1.000000 -nan 0 -nan
149 -1.000000 -nan 0 -nan
150 -1.000000 -nan 0 -nan
151 -1.000000 -nan 0 -nan
152 -1.000000 -nan 0 -nan
153 -1.000000 -nan 0 -nan
154 -1.000000 -nan 0 -nan
155 -1.000000 -nan 0 -nan
156 -1.000000 -nan 0 -nan
157 15.542038 5.252769 2932 2.958828
158 13.766222 5.114796 3767 2.691451
159 21.672731 6.811777 362 3.181656
160 -1.000000 -nan 0 -nan
161 -1.000000 -nan 0 -nan
162 -1.000000 -nan 0 -nan
163 -1.000000 -nan 0 -nan
164 -1.000000 -nan 0 -nan
165 -1.000000 -nan 0 -nan
166 -1.000000 -nan 0 -nan
167 -1.000000 -nan 0 -nan
168 -1.000000 -nan 0 -nan
169 -1.000000 -nan 0 -nan
170 -1.000000 -nan 0 -nan
171 14.701258 5.143330 3499 2.858315
172 -1.000000 -nan 0 -nan
173 14.383640 5.040740 2931 2.853478
174 14.723365 5.081409 2298 2.897497
175 29.785704 10.518762 1 2.831674
176 -1.000000 -nan 0 -nan
177 -1.000000 -nan 0 -nan
178 -1.000000 -nan 0 -nan
179 16.026110 5.036744 1733 3.181839
180 -1.000000 -nan 0 -nan
181 16.828940 5.278378 1070 3.188279
182 17.943975 5.326523 665 3.368797
183 37.744056 -nan 0 -nan
184 -1.000000 -nan 0 -nan
185 18.742094 5.510536 392 3.401138
186 20.197472 5.493425 220 3.676663
187 43.209365 -nan 0 -nan
188 21.712216 5.436442 134 3.993829
189 47.385037 -nan 0 -nan
190 52.070760 -nan 0 -nan
191 120.171430 -nan 0 -nan
192 -1.000000 -nan 0 -nan
193 -1.000000 -nan 0 -nan
194 -1.000000 -nan 0 -nan
195 -1.000000 -nan 0 -nan
196 -1.000000 -nan 0 -nan
197 -1.000000 -nan 0 -nan
198 -1.000000 -nan 0 -nan
199 18.120738 5.195588 722 3.487716
200 -1.000000 -nan 0 -nan
201 -1.000000 -nan 0 -nan
202 -1.000000 -nan 0 -nan
203 18.537133 5.317081 553 3.486337
204 -1.000000 -nan 0 -nan
205 19.194241 5.140318 395 3.734057
206 20.044297 5.530929 277 3.624038
207 38.052327 -nan 0 -nan
208 -1.000000 -nan 0 -nan
209 -1.000000 -nan 0 -nan
210 -1.000000 -nan 0 -nan
211 21.404433 5.711168 160 3.747821
212 17.647067 4.909100 988 3.594766
213 17.371251 5.667437 180 3.065098
214 17.220816 5.808239 97 2.964894
215 46.931542 -nan 0 -nan
216 13.340364 4.909009 1306 2.717527
217 18.448448 5.628006 77 3.277972
218 20.459180 5.827520 39 3.510787
219 56.601808 -nan 0 -nan
220 20.516827 7.568198 14 2.710926
221 59.141943 -nan 0 -nan
222 62.527680 -nan 0 -nan
223 149.347574 -nan 0 -nan
224 -1.000000 -nan 0 -nan
225 -1.000000 -nan 0 -nan
226 13.669349 4.902024 1024 2.788511
