ind freq
0 10978
1 9747
2 15310
3 10666
4 8422
5 8894
6 5075
7 9490
8 4254
9 5516
10 4530
11 7264
12 5193
13 2591
14 2034
15 4078
16 1989
17 2291
18 1213
19 1439
20 1429
21 1114
22 701
23 651
24 462
25 348
26 134
27 144
28 175
29 107
30 51
31 74
32 38
33 11
34 46
35 2
36 4
37 0
38 14
39 1
40 0
41 2
42 1
43 1
44 1
45 0
46 6
47 5
48 0
49 0
50 8
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 2
61 0
62 0
63 0
64 1
65 0
66 1
67 0
68 2
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
