threshold FER T
0 0.126130 0.000000
1 0.081210 6.350470
2 0.060330 11.382260
3 0.050750 15.420910
4 0.047140 18.732360
5 0.045620 21.474490
6 0.045030 23.766260
7 0.044800 25.708420
8 0.044780 27.386700
9 0.044760 28.880950
10 0.044750 30.244970
11 0.044750 31.519150
12 0.044750 32.724360
13 0.044750 33.862420
14 0.044750 34.943050
