threshold FER T
0 0.124500 0.000000
1 0.080448 9.298792
2 0.057364 16.864908
3 0.046052 23.139308
4 0.040664 28.469252
5 0.038068 33.062828
6 0.036880 37.063220
7 0.036480 40.564828
8 0.036332 43.649108
9 0.036248 46.382808
10 0.036236 48.828644
11 0.036228 51.047852
12 0.036220 53.084456
13 0.036220 54.987372
14 0.036220 56.789652
