index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 4.890328 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 7.055128 3.187514 84878 2.213364
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 8.028753 3.162479 45506 2.538752
28 -1.000000 -nan 0 -nan
29 9.322410 3.316127 21953 2.811235
30 10.449585 3.468003 11225 3.013142
31 24.453538 13.431910 1 1.820556
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 9.812290 3.262431 21731 3.007662
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 11.053483 3.254652 12069 3.396210
44 8.102006 2.688007 34103 3.014131
45 9.710232 3.919863 4727 2.477186
46 11.535201 3.978046 2354 2.899715
47 32.885646 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 6.514164 2.672038 30347 2.437901
51 12.420295 3.734600 2908 3.325737
52 6.262217 2.679896 25570 2.336739
53 15.515105 3.914392 583 3.963606
54 16.207619 6.756684 94 2.398754
55 41.236240 -nan 0 -nan
56 7.249641 2.811478 13601 2.578587
57 18.306100 4.499470 161 4.068501
58 19.314255 7.519634 15 2.568510
59 46.934437 -nan 0 -nan
60 20.990812 8.004366 2 2.622420
61 50.420874 -nan 0 -nan
62 52.788947 -nan 0 -nan
63 119.555703 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 6.045578 2.567966 32622 2.354228
71 11.797435 3.375264 5024 3.495263
72 -1.000000 -nan 0 -nan
73 5.674846 2.442134 34782 2.323724
74 -1.000000 -nan 0 -nan
75 14.221578 3.706021 1278 3.837426
76 7.189427 2.843094 12591 2.528733
77 16.853683 4.926078 151 3.421319
78 18.244252 5.849155 53 3.119126
79 45.078434 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 7.102143 2.663677 15039 2.666292
82 7.515786 2.729084 10348 2.753959
83 18.215418 5.781514 22 3.150631
84 8.504543 2.873294 5369 2.959859
85 20.851077 7.093734 7 2.939366
86 22.597513 12.002573 1 1.882722
87 53.028701 -nan 0 -nan
88 9.702299 3.055295 2733 3.175569
89 23.560539 9.311048 1 2.530385
90 25.299430 8.688920 2 2.911689
91 58.335356 -nan 0 -nan
92 27.291139 -nan 0 -nan
93 62.350975 -nan 0 -nan
94 65.190895 -nan 0 -nan
95 143.660490 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 8.566563 2.840363 6212 3.016010
98 9.290033 2.904600 3684 3.198387
99 22.354173 -nan 0 -nan
100 10.410537 3.034350 1875 3.430895
101 25.011156 2.489086 1 10.048328
102 26.870927 -nan 0 -nan
103 61.722647 -nan 0 -nan
104 11.736445 3.160522 1005 3.713452
105 27.893217 -nan 0 -nan
106 29.668673 -nan 0 -nan
107 67.233989 -nan 0 -nan
108 31.816255 -nan 0 -nan
109 71.385125 -nan 0 -nan
110 74.299723 -nan 0 -nan
111 161.791552 -nan 0 -nan
112 13.224603 -nan 0 -nan
113 31.059767 -nan 0 -nan
114 32.901575 -nan 0 -nan
115 73.662747 -nan 0 -nan
116 35.046757 -nan 0 -nan
117 77.811854 -nan 0 -nan
118 80.807498 -nan 0 -nan
119 174.674821 -nan 0 -nan
120 37.409450 -nan 0 -nan
121 82.633639 -nan 0 -nan
122 85.509263 -nan 0 -nan
123 184.139709 -nan 0 -nan
124 89.077302 -nan 0 -nan
125 191.150852 -nan 0 -nan
126 196.087076 -nan 0 -nan
127 414.410359 -nan 0 -nan
