threshold FER T
0 0.018684 0.000000
1 0.011376 8.046808
2 0.007232 14.837528
3 0.005048 20.676272
4 0.003740 25.796724
5 0.003108 30.333072
6 0.002804 34.379276
7 0.002668 37.991856
8 0.002612 41.212600
9 0.002580 44.098484
10 0.002560 46.695040
11 0.002556 49.035404
12 0.002556 51.168920
13 0.002552 53.131424
14 0.002552 54.954576
