threshold FER T
0 0.244640 0.000000
1 0.148570 12.847450
2 0.122730 19.120690
3 0.114450 23.101220
4 0.111650 26.006560
5 0.110790 28.295890
6 0.110550 30.225250
7 0.110510 31.926210
8 0.110500 33.490110
9 0.110490 34.983660
10 0.110490 36.419520
11 0.110480 37.790940
12 0.110480 39.069860
13 0.110480 40.262270
14 0.110480 41.391910
