threshold FER T
0 0.040804 0.000000
1 0.025384 12.055176
2 0.016672 22.505228
3 0.012012 31.719448
4 0.009324 39.892352
5 0.007808 47.173372
6 0.007056 53.702060
7 0.006684 59.567168
8 0.006528 64.840436
9 0.006456 69.588400
10 0.006420 73.871972
11 0.006388 77.753600
12 0.006376 81.299120
13 0.006364 84.557624
14 0.006364 87.583104
