index cnt
0 95788
1 82548
2 68895
3 59660
4 52102
5 45908
6 40381
7 35828
8 31558
9 27924
10 24705
11 21807
12 19227
13 16893
14 14582
15 12697
16 11084
17 9261
18 7920
19 6585
20 5372
21 4294
22 3404
23 2822
24 2166
25 1600
26 1209
27 840
28 611
29 454
30 314
31 173
32 114
33 67
34 50
35 22
36 12
37 8
38 2
39 2
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
