threshold FER T
0 0.010225 0.000000
1 0.006432 10.884750
2 0.004125 20.474567
3 0.002725 29.029802
4 0.001932 36.726120
5 0.001465 43.672840
6 0.001225 49.959445
7 0.001102 55.669978
8 0.001038 60.864420
9 0.001010 65.605485
10 0.001000 69.933760
11 0.000985 73.892125
12 0.000972 77.519018
13 0.000970 80.856810
14 0.000963 83.948927
