threshold FER T
0 0.000068 0.000000
1 0.000044 12.896832
2 0.000036 21.946472
3 0.000032 28.887136
4 0.000028 34.418352
5 0.000028 38.951596
6 0.000028 42.742892
7 0.000028 45.966944
8 0.000028 48.759724
9 0.000028 51.197784
10 0.000028 53.363512
11 0.000028 55.306496
12 0.000028 57.056552
13 0.000028 58.665308
14 0.000028 60.157720
