threshold FER T
0 0.004892 0.000000
1 0.003088 10.378852
2 0.001996 19.677732
3 0.001268 28.055292
4 0.000836 35.604504
5 0.000572 42.429112
6 0.000480 48.606324
7 0.000432 54.228088
8 0.000412 59.356356
9 0.000384 64.043028
10 0.000384 68.335356
11 0.000376 72.265696
12 0.000376 75.864832
13 0.000376 79.173736
14 0.000376 82.231160
