threshold FER T
0 0.002415 0.000000
1 0.001580 7.222168
2 0.001035 13.460202
3 0.000663 18.911137
4 0.000492 23.740192
5 0.000378 28.058927
6 0.000315 31.945908
7 0.000285 35.456525
8 0.000278 38.634503
9 0.000267 41.511535
10 0.000262 44.113420
11 0.000260 46.479650
12 0.000258 48.636970
13 0.000255 50.619820
14 0.000255 52.454507
