index cnt
0 10738
1 13774
2 11981
3 9983
4 8697
5 7638
6 6940
7 6245
8 5459
9 5048
10 4589
11 4291
12 3866
13 3604
14 3121
15 2899
16 2529
17 2264
18 2105
19 1861
20 1525
21 1273
22 1072
23 851
24 660
25 478
26 340
27 225
28 136
29 84
30 46
31 22
32 18
33 7
34 3
35 0
36 4
37 0
38 0
39 1
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
