threshold FER T
0 0.009160 0.000000
1 0.006332 21.088300
2 0.005696 35.718160
3 0.005436 46.816356
4 0.005352 55.652040
5 0.005296 62.920848
6 0.005280 69.047352
7 0.005280 74.322408
8 0.005280 78.936684
9 0.005280 83.038112
10 0.005280 86.730280
11 0.005280 90.088756
12 0.005280 93.182580
13 0.005280 96.055712
14 0.005280 98.743284
