threshold FER T
0 0.012160 0.000000
1 0.007180 4.913150
2 0.004990 9.168170
3 0.003680 12.816970
4 0.003160 15.958140
5 0.002860 18.668280
6 0.002730 21.001220
7 0.002700 23.019720
8 0.002690 24.773620
9 0.002690 26.310500
10 0.002690 27.673910
11 0.002690 28.911000
12 0.002690 30.050790
13 0.002690 31.119830
14 0.002690 32.129620
