ind freq
0 36301
1 35389
2 34474
3 32972
4 31690
5 30478
6 29495
7 27575
8 25795
9 24346
10 22276
11 20607
12 18909
13 16942
14 15138
15 13516
16 11448
17 10026
18 8321
19 6895
20 5621
21 4330
22 3258
23 2437
24 1666
25 1169
26 813
27 495
28 309
29 157
30 92
31 53
32 30
33 11
34 11
35 13
36 9
37 9
38 15
39 8
40 12
41 14
42 16
43 14
44 14
45 14
46 16
47 14
48 18
49 10
50 9
51 7
52 6
53 1
54 1
55 1
56 0
57 0
58 1
59 2
60 4
61 4
62 4
63 4
64 4
65 3
66 4
67 2
68 6
69 3
70 1
71 1
72 0
73 0
74 2
75 1
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
