threshold FER T
0 0.018284 0.000000
1 0.009268 23.100412
2 0.005492 38.736036
3 0.003940 50.386648
4 0.003192 59.538424
5 0.002844 67.016980
6 0.002648 73.283436
7 0.002572 78.638828
8 0.002532 83.293676
9 0.002516 87.380948
10 0.002516 91.015904
11 0.002516 94.300036
12 0.002516 97.308852
13 0.002516 100.100912
14 0.002516 102.713368
