index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 -1.000000 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 -1.000000 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 -1.000000 -nan 0 -nan
28 -1.000000 -nan 0 -nan
29 -1.000000 -nan 0 -nan
30 -1.000000 -nan 0 -nan
31 8.211446 -nan 0 -nan
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 -1.000000 -nan 0 -nan
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 -1.000000 -nan 0 -nan
44 -1.000000 -nan 0 -nan
45 -1.000000 -nan 0 -nan
46 -1.000000 -nan 0 -nan
47 11.098959 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 -1.000000 -nan 0 -nan
51 -1.000000 -nan 0 -nan
52 -1.000000 -nan 0 -nan
53 -1.000000 -nan 0 -nan
54 -1.000000 -nan 0 -nan
55 16.151745 5.924388 5867 2.726315
56 -1.000000 -nan 0 -nan
57 -1.000000 -nan 0 -nan
58 14.916071 4.657619 12521 3.202510
59 14.310401 5.453953 3748 2.623859
60 10.848297 4.403913 14806 2.463331
61 14.096237 5.623565 1357 2.506637
62 14.833968 6.746549 685 2.198749
63 46.162727 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 -1.000000 -nan 0 -nan
71 -1.000000 -nan 0 -nan
72 -1.000000 -nan 0 -nan
73 -1.000000 -nan 0 -nan
74 -1.000000 -nan 0 -nan
75 -1.000000 -nan 0 -nan
76 -1.000000 -nan 0 -nan
77 -1.000000 -nan 0 -nan
78 10.065363 4.323554 16786 2.328030
79 12.256695 4.886831 4750 2.508107
80 -1.000000 -nan 0 -nan
81 -1.000000 -nan 0 -nan
82 -1.000000 -nan 0 -nan
83 -1.000000 -nan 0 -nan
84 -1.000000 -nan 0 -nan
85 9.312660 4.162723 18657 2.237156
86 8.192339 3.980305 21790 2.058219
87 15.606768 5.834367 693 2.674972
88 -1.000000 -nan 0 -nan
89 8.829670 3.969696 16428 2.224268
90 8.922708 4.043768 11722 2.206533
91 20.423899 7.006729 62 2.914898
92 9.687845 4.286388 6501 2.260142
93 23.312622 10.089818 8 2.310510
94 25.354771 -nan 0 -nan
95 63.841206 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 -1.000000 -nan 0 -nan
98 -1.000000 -nan 0 -nan
99 9.135218 3.972490 14832 2.299620
100 -1.000000 -nan 0 -nan
101 9.478494 4.101084 10458 2.311217
102 9.811794 4.140977 7096 2.369439
103 21.790682 9.349820 9 2.330599
104 -1.000000 -nan 0 -nan
105 10.709239 4.344080 4740 2.465249
106 11.378494 4.393149 3021 2.590054
107 26.237125 -nan 0 -nan
108 12.605820 4.432424 1666 2.844001
109 29.662228 -nan 0 -nan
110 32.260169 14.563260 1 2.215175
111 76.426137 -nan 0 -nan
112 -1.000000 -nan 0 -nan
113 12.608487 4.793815 1548 2.630157
114 13.507919 4.822562 965 2.800984
115 31.123791 5.632810 1 5.525447
116 14.774214 4.936441 501 2.992888
117 34.472619 -nan 0 -nan
118 37.262932 -nan 0 -nan
119 86.450936 -nan 0 -nan
120 16.283993 4.865892 289 3.346559
121 38.196633 -nan 0 -nan
122 40.874586 -nan 0 -nan
123 93.862046 -nan 0 -nan
124 43.905861 -nan 0 -nan
125 99.492526 -nan 0 -nan
126 103.721041 -nan 0 -nan
127 228.968322 -nan 0 -nan
128 -1.000000 -nan 0 -nan
129 -1.000000 -nan 0 -nan
130 -1.000000 -nan 0 -nan
131 -1.000000 -nan 0 -nan
132 -1.000000 -nan 0 -nan
133 -1.000000 -nan 0 -nan
134 -1.000000 -nan 0 -nan
135 -1.000000 -nan 0 -nan
136 -1.000000 -nan 0 -nan
137 -1.000000 -nan 0 -nan
138 -1.000000 -nan 0 -nan
139 11.002896 4.359073 6663 2.524137
140 -1.000000 -nan 0 -nan
141 9.921542 4.258665 8643 2.329730
142 9.396936 4.177130 9740 2.249616
143 18.786829 8.339102 59 2.252860
144 -1.000000 -nan 0 -nan
145 -1.000000 -nan 0 -nan
146 -1.000000 -nan 0 -nan
147 9.931176 4.197308 8556 2.366082
148 -1.000000 -nan 0 -nan
149 10.559436 4.214360 5566 2.505585
150 11.223781 4.215599 3595 2.662440
151 24.526994 12.245817 1 2.002888
152 -1.000000 -nan 0 -nan
153 11.851871 4.577562 2484 2.589123
154 12.812492 4.601263 1462 2.784560
155 28.772907 -nan 0 -nan
156 14.148504 4.523463 822 3.127804
157 32.364192 -nan 0 -nan
158 35.425083 -nan 0 -nan
159 82.997144 -nan 0 -nan
160 -1.000000 -nan 0 -nan
161 -1.000000 -nan 0 -nan
162 -1.000000 -nan 0 -nan
163 12.738298 4.495274 2008 2.833709
164 -1.000000 -nan 0 -nan
165 13.611724 4.748413 1152 2.866584
166 14.406785 4.612523 775 3.123407
167 29.946997 -nan 0 -nan
168 10.509885 4.025561 5294 2.610788
169 11.578506 5.032114 689 2.300923
170 12.317170 5.305473 414 2.321597
171 34.496754 -nan 0 -nan
172 13.784862 5.382347 209 2.561125
173 38.099268 -nan 0 -nan
174 40.677157 -nan 0 -nan
175 97.683903 -nan 0 -nan
176 8.825435 4.034425 4674 2.187532
177 14.150366 5.215816 246 2.712973
178 15.682434 5.090637 109 3.080642
179 41.759988 -nan 0 -nan
180 17.566939 5.513769 73 3.186013
181 45.193199 -nan 0 -nan
182 47.813760 -nan 0 -nan
183 110.198463 -nan 0 -nan
184 18.288880 5.553591 20 3.293163
185 47.974965 -nan 0 -nan
186 50.540021 -nan 0 -nan
187 116.977654 -nan 0 -nan
188 53.587102 -nan 0 -nan
189 122.619642 -nan 0 -nan
190 126.775653 -nan 0 -nan
191 277.302918 -nan 0 -nan
192 -1.000000 -nan 0 -nan
193 -1.000000 -nan 0 -nan
194 9.127970 4.019441 5087 2.270955
195 11.727845 4.690842 865 2.500157
196 8.027102 3.958328 5937 2.027902
197 14.490182 4.793179 327 3.023084
198 14.588508 6.522441 142 2.236664
199 40.627379 -nan 0 -nan
200 8.153236 3.962304 4690 2.057701
201 17.892063 5.190980 68 3.446760
202 17.959257 6.723669 27 2.671050
203 46.167604 -nan 0 -nan
204 19.864808 5.678117 14 3.498485
205 49.632487 -nan 0 -nan
206 51.592467 -nan 0 -nan
207 118.164609 -nan 0 -nan
208 9.039712 3.990169 2720 2.265496
209 21.287649 5.864195 27 3.630106
210 21.557498 5.459606 8 3.948545
211 52.435391 -nan 0 -nan
212 23.453508 6.176826 4 3.797016
213 55.920278 -nan 0 -nan
214 57.781846 -nan 0 -nan
215 129.652684 -nan 0 -nan
216 25.642273 8.112866 2 3.160692
217 60.026822 -nan 0 -nan
218 61.922110 -nan 0 -nan
219 137.551189 -nan 0 -nan
220 64.878839 -nan 0 -nan
221 143.201408 -nan 0 -nan
222 147.139141 -nan 0 -nan
223 315.925023 -nan 0 -nan
224 10.115294 4.015784 1562 2.518884
225 24.536319 2.676104 1 9.168670
