threshold FER T
0 0.001884 0.000000
1 0.001144 13.962232
2 0.000844 23.598864
3 0.000724 30.763688
4 0.000652 36.349684
5 0.000628 40.850596
6 0.000612 44.561452
7 0.000604 47.677348
8 0.000604 50.346308
9 0.000604 52.668032
10 0.000596 54.729144
11 0.000596 56.577452
12 0.000596 58.265800
13 0.000596 59.820140
14 0.000596 61.269032
