index cnt
0 65981
1 54871
2 44532
3 37515
4 32004
5 27767
6 23874
7 21130
8 18847
9 16724
10 14487
11 12906
12 11567
13 10084
14 8827
15 7808
16 6569
17 5774
18 4835
19 4071
20 3397
21 2827
22 2287
23 1756
24 1370
25 926
26 685
27 479
28 268
29 179
30 114
31 75
32 41
33 19
34 16
35 7
36 3
37 5
38 1
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
