threshold FER T
0 0.004872 0.000000
1 0.003152 7.040220
2 0.002148 13.296132
3 0.001560 18.814164
4 0.001260 23.674184
5 0.001048 27.970092
6 0.000956 31.785616
7 0.000920 35.197368
8 0.000896 38.258948
9 0.000884 41.010092
10 0.000884 43.492268
11 0.000884 45.751872
12 0.000880 47.829208
13 0.000876 49.741784
14 0.000876 51.519084
