threshold FER T
0 0.075340 0.000000
1 0.040700 17.100304
2 0.028536 27.376120
3 0.024028 34.538112
4 0.022216 39.945260
5 0.021472 44.209724
6 0.021212 47.672412
7 0.021120 50.573900
8 0.021084 53.057916
9 0.021060 55.248392
10 0.021056 57.233004
11 0.021056 59.063936
12 0.021056 60.788008
13 0.021056 62.437264
14 0.021056 64.028156
