index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 -1.000000 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 5.735711 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 7.421741 -nan 0 -nan
28 -1.000000 -nan 0 -nan
29 9.932060 4.586186 19372 2.165647
30 9.859785 4.447011 13284 2.217171
31 19.690830 11.954620 18 1.647131
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 10.420677 4.392695 15020 2.372274
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 10.963611 4.465078 9665 2.455413
44 -1.000000 -nan 0 -nan
45 11.728891 4.506714 5790 2.602537
46 12.521316 4.529680 3238 2.764282
47 26.846146 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 -1.000000 -nan 0 -nan
51 13.094139 4.824594 3175 2.714040
52 -1.000000 -nan 0 -nan
53 14.404614 4.875707 1447 2.954364
54 15.416813 4.906887 829 3.141872
55 32.403474 -nan 0 -nan
56 11.484960 4.186908 6091 2.743065
57 12.695424 5.381452 707 2.359107
58 13.530997 5.475386 359 2.471241
59 38.076697 -nan 0 -nan
60 15.151302 5.418930 224 2.795995
61 42.196033 -nan 0 -nan
62 45.075376 -nan 0 -nan
63 109.439359 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 -1.000000 -nan 0 -nan
71 13.344777 4.649630 2267 2.870073
72 -1.000000 -nan 0 -nan
73 -1.000000 -nan 0 -nan
74 -1.000000 -nan 0 -nan
75 14.831052 4.803335 1257 3.087657
76 11.028879 4.085772 5453 2.699338
77 11.896438 4.868207 1126 2.443700
78 13.044470 5.076615 579 2.569521
79 37.585629 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 -1.000000 -nan 0 -nan
82 9.838766 4.078257 5286 2.412493
83 13.072473 4.857616 674 2.691129
84 8.675013 4.059955 6292 2.136727
85 16.492203 4.818655 228 3.422574
86 16.559545 5.659719 100 2.925860
87 46.063475 -nan 0 -nan
88 8.940055 4.046792 4430 2.209171
89 20.427354 4.887600 39 4.179424
90 20.500746 5.545908 15 3.696554
91 52.613967 -nan 0 -nan
92 21.785889 7.850384 3 2.775137
93 55.818368 -nan 0 -nan
94 58.409100 -nan 0 -nan
95 135.015277 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 9.248582 3.896106 5750 2.373802
98 9.029651 3.877227 5181 2.328894
99 17.892130 5.977523 74 2.993235
100 9.543434 3.910965 3398 2.440174
101 21.056711 8.440376 8 2.494760
102 23.020727 7.373963 8 3.121893
103 56.052932 -nan 0 -nan
104 10.546324 4.060716 1978 2.597158
105 24.433197 7.143706 2 3.420241
106 26.362946 6.650382 1 3.964125
107 62.099083 -nan 0 -nan
108 28.122415 8.155016 1 3.448480
109 65.941923 -nan 0 -nan
110 68.957993 -nan 0 -nan
111 154.020750 -nan 0 -nan
112 11.765016 4.096306 1008 2.872104
113 28.041187 -nan 0 -nan
114 29.297816 -nan 0 -nan
115 68.661946 -nan 0 -nan
116 31.588877 -nan 0 -nan
117 72.821307 -nan 0 -nan
118 75.458094 -nan 0 -nan
119 167.316699 -nan 0 -nan
120 33.959421 -nan 0 -nan
121 77.709381 -nan 0 -nan
122 80.391939 -nan 0 -nan
123 176.935694 -nan 0 -nan
124 83.746778 -nan 0 -nan
125 183.663310 -nan 0 -nan
126 188.539433 -nan 0 -nan
127 403.828496 -nan 0 -nan
