threshold FER T
0 0.001572 0.000000
1 0.000860 20.368020
2 0.000432 34.964608
3 0.000268 46.201024
4 0.000156 55.212320
5 0.000120 62.671792
6 0.000104 69.011964
7 0.000084 74.490776
8 0.000080 79.294200
9 0.000080 83.544148
10 0.000080 87.342504
11 0.000080 90.749916
12 0.000080 93.827736
13 0.000080 96.629120
14 0.000080 99.201428
