threshold FER T
0 0.001244 0.000000
1 0.000780 6.957916
2 0.000496 12.972304
3 0.000408 18.216116
4 0.000340 22.841000
5 0.000304 26.962740
6 0.000292 30.669524
7 0.000288 34.034704
8 0.000284 37.102396
9 0.000284 39.917236
10 0.000284 42.506008
11 0.000284 44.885452
12 0.000284 47.062200
13 0.000284 49.061352
14 0.000280 50.891752
