threshold FER T
0 0.000332 0.000000
1 0.000200 13.528292
2 0.000164 22.752660
3 0.000152 29.554408
4 0.000152 34.867428
5 0.000152 39.204768
6 0.000152 42.868100
7 0.000152 46.019760
8 0.000152 48.771252
9 0.000152 51.206156
10 0.000152 53.372556
11 0.000152 55.317612
12 0.000152 57.084020
13 0.000152 58.689684
14 0.000152 60.174776
