index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 5.293037 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 7.613669 3.198264 84747 2.380563
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 8.759402 3.173647 45344 2.760043
28 6.705570 2.509852 85705 2.671700
29 8.035240 3.828806 15117 2.098628
30 9.669191 3.982694 7580 2.427802
31 28.016021 -nan 0 -nan
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 9.805012 2.991675 23922 3.277432
40 -1.000000 -nan 0 -nan
41 5.375370 2.394529 76119 2.244855
42 4.711878 2.337163 70088 2.016067
43 11.025666 5.316937 1872 2.073688
44 5.363115 2.559548 37442 2.095336
45 13.644463 5.764813 447 2.366853
46 15.119588 5.656142 196 2.673128
47 37.388539 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 5.374818 2.421769 39872 2.219377
50 5.844687 2.528130 25210 2.311862
51 14.738734 6.201405 164 2.376677
52 6.763085 2.783343 12573 2.429842
53 17.141933 6.770136 51 2.531992
54 18.661865 7.283099 22 2.562352
55 44.577679 -nan 0 -nan
56 8.000794 3.191435 5144 2.506958
57 19.928870 9.118357 3 2.185577
58 21.422076 9.267523 2 2.311521
59 49.939910 -nan 0 -nan
60 23.383116 -nan 0 -nan
61 53.801142 -nan 0 -nan
62 56.317915 -nan 0 -nan
63 124.952459 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 4.764185 2.319219 47508 2.054220
68 -1.000000 -nan 0 -nan
69 4.826051 2.328027 41141 2.073022
70 5.440452 2.547609 22604 2.135513
71 14.124922 7.647119 102 1.847091
72 -1.000000 -nan 0 -nan
73 5.857694 2.565779 17982 2.283008
74 6.611710 2.671604 9756 2.474809
75 17.026223 8.314796 24 2.047702
76 7.594996 2.860623 4766 2.655015
77 19.243901 8.940613 4 2.152414
78 20.830925 -nan 0 -nan
79 49.235860 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 7.303913 2.815412 6922 2.594261
82 8.123484 2.883290 3847 2.817436
83 20.296935 11.265169 2 1.801743
84 9.198991 2.986556 1980 3.080133
85 22.634766 -nan 0 -nan
86 24.261065 -nan 0 -nan
87 56.238888 -nan 0 -nan
88 10.389473 3.173568 1038 3.273751
89 25.202953 -nan 0 -nan
90 26.852304 -nan 0 -nan
91 61.372522 -nan 0 -nan
92 28.901969 -nan 0 -nan
93 65.306228 -nan 0 -nan
94 67.974664 -nan 0 -nan
95 148.899027 -nan 0 -nan
96 4.831168 2.458237 16664 1.965298
97 8.350888 3.712041 1701 2.249675
98 9.410462 3.992938 803 2.356777
99 24.552116 -nan 0 -nan
100 10.664123 3.986789 425 2.674865
101 26.830460 -nan 0 -nan
102 28.488298 -nan 0 -nan
103 65.380012 -nan 0 -nan
104 12.253507 -nan 0 -nan
105 29.786609 -nan 0 -nan
106 31.406991 -nan 0 -nan
107 70.947473 -nan 0 -nan
108 33.371040 -nan 0 -nan
109 74.737064 -nan 0 -nan
110 77.404438 -nan 0 -nan
111 167.987455 -nan 0 -nan
112 13.789511 -nan 0 -nan
113 32.839334 -nan 0 -nan
114 34.472191 -nan 0 -nan
115 77.127445 -nan 0 -nan
116 36.459549 -nan 0 -nan
117 80.950623 -nan 0 -nan
118 83.630719 -nan 0 -nan
119 180.481100 -nan 0 -nan
120 38.919510 -nan 0 -nan
121 85.805759 -nan 0 -nan
122 88.460195 -nan 0 -nan
123 189.986180 -nan 0 -nan
124 91.834394 -nan 0 -nan
125 196.584070 -nan 0 -nan
126 201.080319 -nan 0 -nan
127 424.301880 -nan 0 -nan
