index cnt
0 50456
1 59668
2 53745
3 47980
4 43197
5 39515
6 36375
7 33191
8 29960
9 27004
10 24342
11 22479
12 20181
13 17926
14 16141
15 14365
16 13095
17 11559
18 10016
19 8995
20 7682
21 6657
22 5514
23 4637
24 3719
25 3002
26 2249
27 1737
28 1348
29 949
30 679
31 460
32 318
33 197
34 130
35 74
36 36
37 19
38 12
39 4
40 1
41 3
42 1
43 0
44 1
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
