threshold FER T
0 0.154430 0.000000
1 0.085980 11.956180
2 0.063640 18.243130
3 0.055700 22.396730
4 0.053010 25.394150
5 0.052220 27.708750
6 0.051950 29.613690
7 0.051840 31.248330
8 0.051820 32.719250
9 0.051820 34.074570
10 0.051810 35.356780
11 0.051810 36.584100
12 0.051810 37.785960
13 0.051810 38.961700
14 0.051810 40.128490
