index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 4.700112 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 6.289771 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 9.006783 4.549093 38049 1.979908
28 -1.000000 -nan 0 -nan
29 9.386652 4.416961 23673 2.125138
30 9.831874 4.391532 12816 2.238826
31 21.657925 16.214203 2 1.335738
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 10.347053 4.430601 18222 2.335361
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 11.299282 4.498866 10372 2.511584
44 9.191574 3.710977 26558 2.476861
45 9.781238 4.629595 5455 2.112763
46 10.519748 4.793131 3000 2.194755
47 29.604103 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 8.103479 3.655344 21608 2.216885
51 10.082053 4.428906 3544 2.276421
52 6.840334 3.628364 21318 1.885239
53 12.718273 4.660519 1052 2.728939
54 13.463617 5.914696 368 2.276299
55 37.957870 -nan 0 -nan
56 7.103584 3.672293 13225 1.934373
57 16.265382 4.870079 253 3.339860
58 16.954456 5.591592 85 3.032134
59 43.982360 -nan 0 -nan
60 18.462964 7.593043 12 2.431563
61 47.333683 -nan 0 -nan
62 50.021808 -nan 0 -nan
63 116.364030 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 6.985058 3.528595 24462 1.979558
71 10.169662 4.175010 5030 2.435842
72 -1.000000 -nan 0 -nan
73 6.396843 3.339814 27323 1.915329
74 -1.000000 -nan 0 -nan
75 11.999161 4.615321 1815 2.599854
76 7.267093 3.806618 11703 1.909068
77 14.269843 5.207380 334 2.740312
78 15.826893 5.741384 161 2.756634
79 42.106121 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 7.291399 3.622642 13325 2.012730
82 7.291405 3.605501 11057 2.022300
83 15.852601 6.109078 125 2.594925
84 7.930639 3.665183 6641 2.163777
85 18.760249 6.179421 30 3.035923
86 20.409167 6.515137 11 3.132577
87 50.137823 -nan 0 -nan
88 8.951395 3.812727 3584 2.347767
89 21.606551 6.515676 6 3.316088
90 23.448003 5.300202 6 4.423983
91 55.720715 -nan 0 -nan
92 25.299472 -nan 0 -nan
93 59.616095 -nan 0 -nan
94 62.467751 -nan 0 -nan
95 140.339101 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 8.405517 3.834472 5953 2.192092
98 8.787703 3.892931 4164 2.257349
99 20.023942 5.559886 12 3.601503
100 9.635696 3.982740 2280 2.419364
101 22.906452 7.581063 2 3.021536
102 24.782045 9.815136 2 2.524880
103 58.829345 -nan 0 -nan
104 10.831489 4.091509 1217 2.647309
105 25.916259 -nan 0 -nan
106 27.808558 -nan 0 -nan
107 64.525333 -nan 0 -nan
108 29.844758 -nan 0 -nan
109 68.607895 -nan 0 -nan
110 71.573966 -nan 0 -nan
111 158.214841 -nan 0 -nan
112 12.149933 -nan 0 -nan
113 29.119360 -nan 0 -nan
114 30.937767 -nan 0 -nan
115 71.027408 -nan 0 -nan
116 33.128304 -nan 0 -nan
117 75.126114 -nan 0 -nan
118 78.089483 -nan 0 -nan
119 171.273629 -nan 0 -nan
120 35.612732 -nan 0 -nan
121 80.048861 -nan 0 -nan
122 82.906686 -nan 0 -nan
123 180.775646 -nan 0 -nan
124 86.450110 -nan 0 -nan
125 187.667156 -nan 0 -nan
126 192.610596 -nan 0 -nan
127 410.364177 -nan 0 -nan
