index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 -1.000000 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 -1.000000 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 -1.000000 -nan 0 -nan
28 -1.000000 -nan 0 -nan
29 -1.000000 -nan 0 -nan
30 -1.000000 -nan 0 -nan
31 -1.000000 -nan 0 -nan
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 -1.000000 -nan 0 -nan
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 -1.000000 -nan 0 -nan
44 -1.000000 -nan 0 -nan
45 -1.000000 -nan 0 -nan
46 -1.000000 -nan 0 -nan
47 -1.000000 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 -1.000000 -nan 0 -nan
51 -1.000000 -nan 0 -nan
52 -1.000000 -nan 0 -nan
53 -1.000000 -nan 0 -nan
54 -1.000000 -nan 0 -nan
55 -1.000000 -nan 0 -nan
56 -1.000000 -nan 0 -nan
57 -1.000000 -nan 0 -nan
58 -1.000000 -nan 0 -nan
59 -1.000000 -nan 0 -nan
60 -1.000000 -nan 0 -nan
61 -1.000000 -nan 0 -nan
62 -1.000000 -nan 0 -nan
63 14.724124 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 -1.000000 -nan 0 -nan
71 -1.000000 -nan 0 -nan
72 -1.000000 -nan 0 -nan
73 -1.000000 -nan 0 -nan
74 -1.000000 -nan 0 -nan
75 -1.000000 -nan 0 -nan
76 -1.000000 -nan 0 -nan
77 -1.000000 -nan 0 -nan
78 -1.000000 -nan 0 -nan
79 -1.000000 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 -1.000000 -nan 0 -nan
82 -1.000000 -nan 0 -nan
83 -1.000000 -nan 0 -nan
84 -1.000000 -nan 0 -nan
85 -1.000000 -nan 0 -nan
86 -1.000000 -nan 0 -nan
87 -1.000000 -nan 0 -nan
88 -1.000000 -nan 0 -nan
89 -1.000000 -nan 0 -nan
90 -1.000000 -nan 0 -nan
91 -1.000000 -nan 0 -nan
92 -1.000000 -nan 0 -nan
93 -1.000000 -nan 0 -nan
94 -1.000000 -nan 0 -nan
95 20.323440 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 -1.000000 -nan 0 -nan
98 -1.000000 -nan 0 -nan
99 -1.000000 -nan 0 -nan
100 -1.000000 -nan 0 -nan
101 -1.000000 -nan 0 -nan
102 -1.000000 -nan 0 -nan
103 -1.000000 -nan 0 -nan
104 -1.000000 -nan 0 -nan
105 -1.000000 -nan 0 -nan
106 -1.000000 -nan 0 -nan
107 -1.000000 -nan 0 -nan
108 -1.000000 -nan 0 -nan
109 -1.000000 -nan 0 -nan
110 -1.000000 -nan 0 -nan
111 29.806602 7.645477 192 3.898593
112 -1.000000 -nan 0 -nan
113 -1.000000 -nan 0 -nan
114 -1.000000 -nan 0 -nan
115 -1.000000 -nan 0 -nan
116 -1.000000 -nan 0 -nan
117 -1.000000 -nan 0 -nan
118 30.316165 6.153022 377 4.927037
119 28.386943 7.158147 137 3.965683
120 -1.000000 -nan 0 -nan
121 22.578900 5.607118 608 4.026828
122 17.139920 5.667320 964 3.024343
123 24.271409 8.455855 20 2.870367
124 16.697580 5.570830 893 2.997324
125 31.050952 8.043119 5 3.860561
126 32.187918 8.200151 2 3.925284
127 89.453125 -nan 0 -nan
128 -1.000000 -nan 0 -nan
129 -1.000000 -nan 0 -nan
130 -1.000000 -nan 0 -nan
131 -1.000000 -nan 0 -nan
132 -1.000000 -nan 0 -nan
133 -1.000000 -nan 0 -nan
134 -1.000000 -nan 0 -nan
135 -1.000000 -nan 0 -nan
136 -1.000000 -nan 0 -nan
137 -1.000000 -nan 0 -nan
138 -1.000000 -nan 0 -nan
139 -1.000000 -nan 0 -nan
140 -1.000000 -nan 0 -nan
141 -1.000000 -nan 0 -nan
142 -1.000000 -nan 0 -nan
143 -1.000000 -nan 0 -nan
144 -1.000000 -nan 0 -nan
145 -1.000000 -nan 0 -nan
146 -1.000000 -nan 0 -nan
147 -1.000000 -nan 0 -nan
148 -1.000000 -nan 0 -nan
149 -1.000000 -nan 0 -nan
150 -1.000000 -nan 0 -nan
151 -1.000000 -nan 0 -nan
152 -1.000000 -nan 0 -nan
153 -1.000000 -nan 0 -nan
154 -1.000000 -nan 0 -nan
155 -1.000000 -nan 0 -nan
156 -1.000000 -nan 0 -nan
157 -1.000000 -nan 0 -nan
158 -1.000000 -nan 0 -nan
159 30.298015 6.450351 60 4.697111
160 -1.000000 -nan 0 -nan
161 -1.000000 -nan 0 -nan
162 -1.000000 -nan 0 -nan
163 -1.000000 -nan 0 -nan
164 -1.000000 -nan 0 -nan
165 -1.000000 -nan 0 -nan
166 -1.000000 -nan 0 -nan
167 -1.000000 -nan 0 -nan
168 -1.000000 -nan 0 -nan
169 -1.000000 -nan 0 -nan
170 -1.000000 -nan 0 -nan
171 -1.000000 -nan 0 -nan
172 -1.000000 -nan 0 -nan
173 20.290696 5.879953 412 3.450826
174 17.665185 5.931475 615 2.978211
175 25.902693 7.092876 37 3.651931
176 -1.000000 -nan 0 -nan
177 -1.000000 -nan 0 -nan
178 -1.000000 -nan 0 -nan
179 17.814795 5.356854 729 3.325608
180 -1.000000 -nan 0 -nan
181 17.718693 5.464357 668 3.242595
182 18.080243 5.322836 529 3.396731
183 34.663898 -nan 0 -nan
184 -1.000000 -nan 0 -nan
185 19.269751 5.668621 335 3.399372
186 20.456733 5.283232 230 3.872011
187 42.052462 -nan 0 -nan
188 21.724915 5.442573 152 3.991663
189 45.514117 -nan 0 -nan
190 50.536008 -nan 0 -nan
191 118.012331 -nan 0 -nan
192 -1.000000 -nan 0 -nan
193 -1.000000 -nan 0 -nan
194 -1.000000 -nan 0 -nan
195 -1.000000 -nan 0 -nan
196 -1.000000 -nan 0 -nan
197 -1.000000 -nan 0 -nan
198 -1.000000 -nan 0 -nan
199 18.790032 5.243629 561 3.583403
200 -1.000000 -nan 0 -nan
201 -1.000000 -nan 0 -nan
202 -1.000000 -nan 0 -nan
203 18.806365 5.207561 427 3.611358
204 -1.000000 -nan 0 -nan
205 19.145405 5.259492 381 3.640162
206 19.944847 5.292955 276 3.768188
207 37.365387 -nan 0 -nan
208 -1.000000 -nan 0 -nan
209 -1.000000 -nan 0 -nan
210 -1.000000 -nan 0 -nan
211 21.200752 5.742088 179 3.692168
212 -1.000000 -nan 0 -nan
213 22.660242 5.780199 99 3.920322
214 23.816998 6.197712 47 3.842869
215 45.959061 -nan 0 -nan
216 -1.000000 -nan 0 -nan
217 24.902225 5.515693 26 4.514796
218 26.536177 5.115626 16 5.187279
219 53.538798 -nan 0 -nan
220 28.609573 4.934461 13 5.797913
221 59.353254 -nan 0 -nan
222 64.747501 -nan 0 -nan
223 142.001017 -nan 0 -nan
224 -1.000000 -nan 0 -nan
225 -1.000000 -nan 0 -nan
226 -1.000000 -nan 0 -nan
227 26.451187 4.733525 20 5.588053
