threshold FER T
0 0.216720 0.000000
1 0.140320 7.006600
2 0.104510 12.126460
3 0.088390 16.110110
4 0.081720 19.354810
5 0.079320 22.090610
6 0.078360 24.423760
7 0.078120 26.451500
8 0.077980 28.241630
9 0.077920 29.853490
10 0.077900 31.328070
11 0.077900 32.686070
12 0.077900 33.967250
13 0.077900 35.191960
14 0.077900 36.357950
