threshold FER T
0 0.547300 0.000000
1 0.390000 13.993400
2 0.348400 20.288200
3 0.336100 24.202200
4 0.333200 26.983900
5 0.332200 29.246800
6 0.331800 31.185400
7 0.331800 32.958100
8 0.331800 34.659400
9 0.331800 36.275800
10 0.331800 37.846800
11 0.331800 39.409600
12 0.331800 40.929200
13 0.331800 42.463100
14 0.331800 43.958800
