index cnt
0 39447
1 30046
2 23139
3 18825
4 15758
5 13397
6 11608
7 9974
8 8656
9 7553
10 6708
11 5817
12 5105
13 4327
14 3756
15 3178
16 2667
17 2212
18 1822
19 1362
20 1140
21 851
22 620
23 461
24 338
25 184
26 128
27 74
28 51
29 31
30 20
31 4
32 4
33 1
34 0
35 1
36 1
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
