ind freq
0 8661
1 7269
2 6986
3 8012
4 4332
5 4004
6 4793
7 6523
8 3724
9 6906
10 2635
11 5039
12 5245
13 1849
14 1435
15 2288
16 1889
17 1255
18 3233
19 1601
20 1268
21 745
22 633
23 635
24 384
25 224
26 275
27 165
28 171
29 112
30 136
31 66
32 24
33 39
34 25
35 8
36 8
37 5
38 0
39 2
40 22
41 0
42 0
43 0
44 0
45 1
46 0
47 3
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 9
58 7
59 0
60 0
61 0
62 1
63 0
64 0
65 1
66 1
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
