threshold FER T
0 0.057000 0.000000
1 0.035470 5.822720
2 0.025040 10.480160
3 0.019510 14.319770
4 0.016850 17.565930
5 0.015760 20.355830
6 0.015310 22.758620
7 0.015110 24.826510
8 0.015060 26.608030
9 0.015060 28.166720
10 0.015060 29.545150
11 0.015060 30.784690
12 0.015060 31.928570
13 0.015060 33.015810
14 0.015060 34.061880
