threshold FER T
0 0.000820 0.000000
1 0.000458 13.971530
2 0.000293 23.529888
3 0.000200 30.728188
4 0.000155 36.386243
5 0.000138 40.970813
6 0.000132 44.766145
7 0.000132 47.964312
8 0.000132 50.701262
9 0.000132 53.077382
10 0.000132 55.174073
11 0.000132 57.055057
12 0.000132 58.767530
13 0.000132 60.350545
14 0.000132 61.833852
