ind freq
0 155095
1 127792
2 96379
3 51368
4 71486
5 155146
6 167608
7 115156
8 220993
9 46330
10 67490
11 208664
12 28278
13 25371
14 34061
15 211486
16 18300
17 131749
18 70744
19 9215
20 9717
21 45699
22 104420
23 5061
24 5035
25 12621
26 2670
27 4838
28 6600
29 5378
30 961
31 1304
32 506
33 660
34 110
35 79
36 148
37 59
38 72
39 17
40 5
41 15
42 2
43 2
44 369
45 48
46 1
47 184
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
