threshold FER T
0 0.031940 0.000000
1 0.017510 10.716330
2 0.012690 16.846980
3 0.010920 20.969470
4 0.010250 24.060490
5 0.010060 26.510800
6 0.009970 28.548010
7 0.009940 30.289740
8 0.009930 31.826830
9 0.009920 33.211760
10 0.009920 34.503040
11 0.009920 35.714320
12 0.009920 36.856560
13 0.009920 37.939100
14 0.009920 38.953010
