ind freq
0 61498
1 59654
2 57777
3 55349
4 53142
5 51022
6 48731
7 45929
8 42720
9 39962
10 36931
11 34018
12 30974
13 28065
14 24886
15 21913
16 18935
17 16464
18 14037
19 11886
20 9543
21 7682
22 6477
23 4934
24 3678
25 2782
26 1996
27 1426
28 981
29 642
30 443
31 317
32 174
33 104
34 64
35 40
36 24
37 17
38 15
39 8
40 10
41 7
42 9
43 7
44 5
45 10
46 5
47 6
48 6
49 7
50 8
51 13
52 4
53 8
54 10
55 12
56 7
57 8
58 5
59 7
60 3
61 2
62 0
63 0
64 0
65 0
66 1
67 3
68 1
69 4
70 6
71 2
72 3
73 4
74 2
75 2
76 4
77 0
78 0
79 0
80 0
81 0
82 2
83 2
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
