threshold FER T
0 0.003410 0.000000
1 0.001752 21.185298
2 0.001000 36.305310
3 0.000602 47.740502
4 0.000423 56.783702
5 0.000330 64.183673
6 0.000302 70.409063
7 0.000278 75.755448
8 0.000262 80.419488
9 0.000260 84.550135
10 0.000250 88.247997
11 0.000250 91.600525
12 0.000250 94.669885
13 0.000247 97.500043
14 0.000245 100.143720
