threshold FER T
0 0.054196 0.000000
1 0.035152 8.691660
2 0.025900 15.857764
3 0.021428 21.928928
4 0.019368 27.168908
5 0.018428 31.747692
6 0.018004 35.788188
7 0.017828 39.363892
8 0.017780 42.517944
9 0.017732 45.303528
10 0.017720 47.777392
11 0.017720 49.976368
12 0.017720 51.958780
13 0.017720 53.763632
14 0.017720 55.436912
