threshold FER T
0 0.324040 0.000000
1 0.224370 7.729360
2 0.180920 13.209510
3 0.161290 17.381510
4 0.153890 20.699290
5 0.150860 23.427050
6 0.149970 25.682070
7 0.149620 27.592620
8 0.149510 29.259930
9 0.149500 30.773140
10 0.149480 32.177680
11 0.149470 33.539740
12 0.149470 34.873490
13 0.149470 36.206200
14 0.149470 37.523330
