threshold FER T
0 0.002088 0.000000
1 0.001452 9.465584
2 0.001104 17.927568
3 0.000892 25.558140
4 0.000784 32.455020
5 0.000736 38.708140
6 0.000712 44.402636
7 0.000704 49.596776
8 0.000700 54.366384
9 0.000700 58.759904
10 0.000700 62.825452
11 0.000700 66.610164
12 0.000696 70.124020
13 0.000696 73.407868
14 0.000696 76.478260
