index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 5.119022 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 6.807875 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 9.801959 4.552131 38006 2.153268
28 8.186585 3.529843 67294 2.319249
29 8.303039 4.322872 19869 1.920723
30 8.844177 4.595260 10434 1.924630
31 24.859387 16.193569 1 1.535139
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 9.868157 4.090490 21156 2.412463
40 -1.000000 -nan 0 -nan
41 7.069691 3.349400 54272 2.110733
42 5.569247 3.123289 61602 1.783135
43 8.866496 4.864490 6334 1.822698
44 5.374138 3.215908 43848 1.671111
45 11.603778 5.346119 1233 2.170505
46 12.998878 5.507965 647 2.360015
47 35.133362 -nan 0 -nan
48 -1.000000 -nan 0 -nan
49 5.655463 3.130853 41915 1.806365
50 5.770570 3.171317 29108 1.819613
51 12.869454 5.753516 639 2.236798
52 6.361547 3.339428 16251 1.904981
53 15.438850 5.965493 137 2.588026
54 16.986098 6.315812 73 2.689456
55 42.342870 -nan 0 -nan
56 7.247813 3.715345 7819 1.950778
57 18.278036 9.952857 4 1.836461
58 19.738831 9.803819 6 2.013382
59 47.877085 -nan 0 -nan
60 21.619598 -nan 0 -nan
61 51.586078 -nan 0 -nan
62 54.055101 -nan 0 -nan
63 122.538574 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 5.230038 2.999650 47525 1.743549
68 -1.000000 -nan 0 -nan
69 5.151716 3.062074 39685 1.682427
70 5.289865 3.129045 29357 1.690569
71 12.455703 7.048349 331 1.767180
72 -1.000000 -nan 0 -nan
73 5.680920 3.291598 21836 1.725885
74 6.162178 3.328453 13218 1.851364
75 15.212509 7.753187 55 1.962098
76 6.963843 3.507174 6834 1.985600
77 17.593121 8.020895 7 2.193411
78 19.187054 8.809236 6 2.178061
79 47.100741 -nan 0 -nan
80 -1.000000 -nan 0 -nan
81 6.912703 3.637228 8321 1.900542
82 7.503642 3.715375 5102 2.019619
83 18.342446 8.579332 9 2.137981
84 8.420934 3.750248 2719 2.245434
85 20.839545 6.549044 2 3.182074
86 22.542780 10.001335 2 2.253977
87 53.817471 -nan 0 -nan
88 9.521560 3.916282 1457 2.431275
89 23.530106 9.049544 1 2.600143
90 25.222734 -nan 0 -nan
91 59.078644 -nan 0 -nan
92 27.285429 -nan 0 -nan
93 63.009961 -nan 0 -nan
94 65.686226 -nan 0 -nan
95 146.047726 -nan 0 -nan
96 5.106686 3.111769 17967 1.641088
97 7.435303 4.204746 2541 1.768312
98 8.355247 4.434160 1305 1.884291
99 22.917537 -nan 0 -nan
100 9.550871 4.633333 691 2.061339
101 25.255264 -nan 0 -nan
102 26.915738 -nan 0 -nan
103 63.384972 -nan 0 -nan
104 11.053890 -nan 0 -nan
105 28.190998 -nan 0 -nan
106 29.809733 -nan 0 -nan
107 68.912738 -nan 0 -nan
108 31.789937 -nan 0 -nan
109 72.675465 -nan 0 -nan
110 75.317617 -nan 0 -nan
111 165.410992 -nan 0 -nan
112 12.617677 -nan 0 -nan
113 31.288985 -nan 0 -nan
114 32.934976 -nan 0 -nan
115 75.137764 -nan 0 -nan
116 34.944043 -nan 0 -nan
117 78.927822 -nan 0 -nan
118 81.611076 -nan 0 -nan
119 177.913224 -nan 0 -nan
120 37.376345 -nan 0 -nan
121 83.761034 -nan 0 -nan
122 86.416795 -nan 0 -nan
123 187.376489 -nan 0 -nan
124 89.817111 -nan 0 -nan
125 193.923919 -nan 0 -nan
126 198.399644 -nan 0 -nan
127 421.078985 -nan 0 -nan
