ind freq
0 41790
1 40680
2 39916
3 38750
4 38077
5 37007
6 35694
7 34562
8 33413
9 31702
10 30326
11 28299
12 26847
13 24923
14 23093
15 21314
16 19270
17 17238
18 15265
19 13268
20 11506
21 9523
22 7967
23 6238
24 4839
25 3629
26 2603
27 1726
28 1184
29 779
30 517
31 313
32 186
33 103
34 68
35 45
36 46
37 24
38 16
39 18
40 16
41 25
42 15
43 30
44 23
45 25
46 29
47 25
48 35
49 25
50 19
51 14
52 17
53 2
54 3
55 0
56 0
57 0
58 1
59 1
60 2
61 3
62 11
63 8
64 11
65 10
66 9
67 12
68 7
69 3
70 2
71 3
72 0
73 0
74 2
75 1
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
