th fer T
0 0.619100 0.000000
1 0.483400 9.123300
2 0.428600 14.896600
3 0.407400 19.054400
4 0.400400 22.288700
5 0.397900 24.961000
6 0.397000 27.281400
7 0.396800 29.359800
8 0.396700 31.244200
9 0.396700 32.971600
10 0.396700 34.614200
11 0.396700 36.184900
12 0.396700 37.676100
13 0.396700 39.174600
14 0.396700 40.644100
